,foodname,serving,image,calories,protein,fat,carb,sodium,fibre
879,2-ingredient dairy-free Ninja Creami banana ice-cream,2,https://img.taste.com.au/Z4J0SyG2/w720-h480-cfill-q80/taste/2024/07/2-ingredient-dairy-free-ninja-creami-banana-ice-cream-200181-1.jpg,459 kj (110cal),1.4g,0.4g,28.4g,1.4mg,3.1g
880,Watermelon caprioska salad,4,https://img.taste.com.au/3wvu0GY4/w720-h480-cfill-q80/taste/2016/11/watermelon-caprioska-salad-36199-1.jpeg,746 kj (178cal),2.1g,4.8g,23.4g,46.6mg,1.5g
881,Pumpkin and chickpea curry,6,https://img.taste.com.au/ZKMkI4cj/w720-h480-cfill-q80/taste/2016/11/pumpkin-and-chickpea-curry-88798-1.jpeg,1650 kj (394cal),9.7g,26.4g,34.3g,267mg,7.4g
882,Easy molten chocolate souffle,4,https://img.taste.com.au/dbNWxxD1/w720-h480-cfill-q80/taste/2016/11/easy-molten-chocolate-souffle-58756-1.jpeg,4680 kj (1119cal),15g,66g,115g,316.05mg,2g
883,Cream of cauliflower soup,4,https://img.taste.com.au/F0URP5nD/w720-h480-cfill-q80/taste/2016/11/cream-of-cauliflower-soup-13977-1.jpeg,579 kj (138cal),2.9g,10.9g,9.2g,411.5mg,2.7g
884,Mushroom &amp; egg bakes,4,https://img.taste.com.au/Wzhytg49/w720-h480-cfill-q80/taste/2016/11/mushroom-egg-bakes-17008-1.jpeg,443 kj (106cal),6.9g,7.5g,3.1g,275.9mg,1.0g
885,Larb with spicy mango salsa,4,https://img.taste.com.au/pzAQkpag/w720-h480-cfill-q80/taste/2016/11/larb-with-spicy-mango-salsa-63513-1.jpeg,2168 kj (518cal),36.0g,33.9g,21.8g,596.1mg,2.3g
886,Curtis Stone’s zucchini schnitzel melts,6,https://img.taste.com.au/BeDq3aZB/w720-h480-cfill-q80/taste/2020/02/mar20_zucchini-schnitzel-melts-158569-1.jpg,1768 kj (423cal),16.2g,29.5g,23.7g,413mg,2.2g
887,Beef and red wine stew,8,https://img.taste.com.au/K693qX29/w720-h480-cfill-q80/taste/2016/11/beef-and-red-wine-stew-80621-1.jpeg,2302 kj (550cal),55.0g,28.0g,11.2g,795.8mg,2.5g
888,Herbed beef in prosciutto,16,https://img.taste.com.au/4t7f6fnZ/w720-h480-cfill-q80/taste/2016/11/herbed-beef-in-prosciutto-81201-1.jpeg,1295 kj (310cal),22.2g,22.9g,1.1g,393.5mg,0.1g
889,Sesame beef stir-fry,4,https://img.taste.com.au/jQwWTAEZ/w720-h480-cfill-q80/taste/2016/11/sesame-beef-stir-fry-72129-1.jpeg,2289 kj (547cal),41.1g,17.5g,62.1g,1.9g,3.0g
890,Kahlua christmas puddings,10,https://img.taste.com.au/1_YoAOeJ/w720-h480-cfill-q80/taste/2016/11/kahlua-christmas-puddings-86974-1.jpeg,3422 kj (818cal),9.9g,24.6g,141.1g,237.4mg,4.9g
891,Seafood Malabar,6,https://img.taste.com.au/riVUANQW/w720-h480-cfill-q80/taste/2016/11/seafood-malabar-29465-1.jpeg,1915 kj (458cal),39.7g,29.8g,8.1g,508.1mg,1.2g
892,Mexican chicken rice bake with pickled jalapeno,4,https://img.taste.com.au/At_F2Bk_/w720-h480-cfill-q80/taste/2016/11/mexican-chicken-rice-bake-with-pickled-jalapeno-104651-1.jpeg,3567 kj (853cal),35.7g,40.2g,88.4g,1.8g,10.5g
893,Gluten-free carrot cake,12,https://img.taste.com.au/8Fg6Wc4H/w720-h480-cfill-q80/taste/2019/01/gluten-free-carrot-cake_taste-146296-1.jpg,1214 kj (290cal),3g,15g,38g,93mg,1g
894,Midori melon salad,4,https://img.taste.com.au/vECTWZVG/w720-h480-cfill-q80/taste/2016/11/midori-melon-salad-6286-1.jpeg,538 kj (129cal),1.7g,0.6g,26.9g,10.8mg,2.5g
895,"Farfalle, beef and asparagus salad",4,https://img.taste.com.au/r_5wiR54/w720-h480-cfill-q80/taste/2016/11/farfalle-beef-and-asparagus-salad-25909-1.jpeg,4821 kj (1152cal),57.7g,57.2g,105.4g,260.7mg,9.8g
896,Raspberry ice-cream,4,https://img.taste.com.au/HCuy00fQ/w720-h480-cfill-q80/taste/2016/11/raspberry-ice-cream-15900-1.jpeg,2651 kj (634cal),10.9g,25.5g,90.0g,122.8mg,4.9g
897,Mississippi mud cake,20,https://img.taste.com.au/aDSkGQXR/w720-h480-cfill-q80/taste/2016/11/mississippi-mud-cake-5807-1.jpeg,1284 kj (307cal),2.9g,15.2g,38.8g,53.7mg,1.4g
898,Turkish coffee,8,https://img.taste.com.au/AN4RBDyJ/w720-h480-cfill-q80/taste/2016/11/turkish-coffee-5593-1.jpeg,139 kj (33cal),0.3g,,8.1g,16.6mg,0.3g
899,Easy pickled beetroot,3 cups,https://img.taste.com.au/5eE0iQBG/w720-h480-cfill-q80/taste/2019/05/easy-pickled-beetroot-204095-1.jpg,3177 kj (759cal),7.8g,0.9g,173.4g,783mg,15g
900,Frozen Mars bar mousse,6,https://img.taste.com.au/2DhfztjA/w720-h480-cfill-q80/taste/2016/11/frozen-mars-bar-mousse-31949-1.jpeg,2502 kj (598cal),8.9g,44.8g,43.0g,144.3mg,1.9g
